Updated On,State,Total Tested,Positive,Negative,Unconfirmed,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand,Tests per million,Population (Source: UIDAI),1000,1000000
17/04/2020,Andaman and Nicobar Islands,1403,12,1210,181,,,50,,,,https://t.me/indiacovid/2550,,0.86%,3.534005038,3534.005038,397000,,
24/04/2020,Andaman and Nicobar Islands,2679,27,,246,,,50,,,280,https://t.me/indiacovid/3147?single,,1.01%,6.748110831,6748.110831,,,
27/04/2020,Andaman and Nicobar Islands,2848,33,,106,,,50,,,298,https://t.me/indiacovid/3365?single,,1.16%,7.173803526,7173.803526,,,
01/05/2020,Andaman and Nicobar Islands,3754,33,,199,643,,50,,,340,https://t.me/indiacovid/3781,,,,,,,
02/04/2020,Andhra Pradesh,1800,132,1175,493,179,,23479,2680,330,,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,,7.33%,0.03446889183,34.46889183,52221000,,
10/04/2020,Andhra Pradesh,6374,365,6009,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.73%,0.1220581758,122.0581758,,,
11/04/2020,Andhra Pradesh,6958,381,6577,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.48%,0.1332414163,133.2414163,,,
12/04/2020,Andhra Pradesh,6958,405,6553,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,5.82%,0.1332414163,133.2414163,,,
13/04/2020,Andhra Pradesh,8755,432,8323,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.93%,0.16765286,167.65286,,,
14/04/2020,Andhra Pradesh,10505,473,10032,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.50%,0.2011642826,201.1642826,,,
15/04/2020,Andhra Pradesh,11613,525,11088,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,4.52%,0.2223818004,222.3818004,,,
16/04/2020,Andhra Pradesh,20235,534,19701,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.64%,0.3874877923,387.4877923,,,
17/04/2020,Andhra Pradesh,20235,572,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,https://t.me/indiacovid/2474,2.83%,0.3874877923,387.4877923,,,
18/04/2020,Andhra Pradesh,21450,603,20487,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.81%,0.4107542942,410.7542942,,,
19/04/2020,Andhra Pradesh,26958,647,26311,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.40%,0.5162291032,516.2291032,,,
20/04/2020,Andhra Pradesh,30733,722,30011,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.35%,0.5885180291,588.5180291,,,
21/04/2020,Andhra Pradesh,35755,757,34998,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,2.12%,0.6846862373,684.6862373,,,
22/04/2020,Andhra Pradesh,41512,813,40699,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.96%,0.794929243,794.929243,,,
23/04/2020,Andhra Pradesh,48032,893,47139,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.86%,0.919783229,919.783229,,,
24/04/2020,Andhra Pradesh,54338,955,53383,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.76%,1.040539247,1040.539247,,,
25/04/2020,Andhra Pradesh,61266,1016,60250,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.66%,1.173206181,1173.206181,,,
26/04/2020,Andhra Pradesh,68034,1097,66937,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.61%,1.302809215,1302.809215,,,
27/04/2020,Andhra Pradesh,74551,1177,73374,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.58%,1.427605752,1427.605752,,,
28/04/2020,Andhra Pradesh,80334,1259,79075,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.57%,1.538346642,1538.346642,,,
29/04/2020,Andhra Pradesh,88061,1332,86729,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.51%,1.686313935,,,,
30/04/2020,Andhra Pradesh,94558,1403,93155,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,1.48%,1.810727485,,,,
01/05/2020,Andhra Pradesh,102460,1463,100997,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,,,
02/05/2020,Andhra Pradesh,108403,1525,106878,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,,,
03/05/2020,Andhra Pradesh,114937,1583,113354,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,,,,
