SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,4332,4332,0,0,319,319,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,111,111,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,209,101,104,4,3,3,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,238,79,158,1,4,-3,7,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,154,103,49,2,7,6,1,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,465,86,371,8,13,-5,18,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,445,122,306,17,0,-8,8,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,688,134,532,22,15,11,3,1,,
0,AP,Andhra Pradesh,AP_Other State,Other State,293,126,167,0,74,51,23,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,75,9,66,0,3,1,2,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,233,86,143,4,2,2,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,21,12,9,0,0,-1,1,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,99,36,62,1,6,6,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,22,18,4,0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,83,28,55,0,0,-1,1,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,109,10,99,0,1,-3,4,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,0,0,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,,
