SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,Case tranferred from Nagaland
0,HR,Haryana,HR_Italians,Italians,14,0,14,0,0,0,0,0,Italian tourists who were treated in Haryana
0,MH,Maharashtra,MH_Other States,Other States,30,25,0,5,0,0,0,0,Cases from other States/UTs
0,MP,Madhya Pradesh,MP_Other Region,Other Region,2,2,0,0,0,0,0,0,Cases from other states
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,61,0,61,0,0,0,0,0,Evacuees from other countries; They have been counted separatly by the state
0,RJ,Rajasthan,RJ_Italians,Italians,2,0,2,0,0,0,0,0,Italian tourists who were tested positive in Rajasthan
0,RJ,Rajasthan,RJ_Other state,Other state,2,0,0,2,0,0,0,0,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,1,31,0,0,0,0,0,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,80,42,34,4,0,-10,10,0,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,82,14,68,0,0,-20,20,0,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,46,20,26,0,1,-3,4,0,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,363,226,129,8,12,11,1,0,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,300,173,117,10,14,-48,61,1,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,533,369,153,11,17,-23,39,1,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,61,9,52,0,0,-2,2,0,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,92,33,56,3,0,0,0,0,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,5,5,0,0,0,0,0,0,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,39,18,21,0,2,2,0,0,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,0,0,0,0,0,0,0,0,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,59,26,33,0,0,-2,2,0,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,90,50,40,0,1,0,1,0,
0,AP,Andhra Pradesh,AP_Other State,Other State,27,27,0,0,13,13,0,0,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,0,0,0,0,0,0,0,0,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,1,0,1,0,0,0,0,0,
26,AR,Arunachal Pradesh,AR_Longding,Longding,0,0,0,0,0,0,0,0,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,0,0,0,0,0,0,0,0,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0,0,0,0,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,0,0,0,0,0,0,0,0,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,0,0,0,0,0,0,0,0,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,0,0,0,0,0,0,0,0,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,0,0,0,0,0,0,0,0,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,0,0,0,0,0,0,0,0,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,0,0,0,0,0,0,0,0,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,0,0,0,0,0,0,0,0,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,0,0,0,0,0,0,0,0,
42,AS,Assam,AS_Baksa,Baksa,0,0,0,0,0,0,0,0,
43,AS,Assam,AS_Barpeta,Barpeta,0,0,0,0,0,0,0,0,
44,AS,Assam,AS_Biswanath,Biswanath,0,0,0,0,0,0,0,0,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,5,5,0,0,0,0,0,0,
46,AS,Assam,AS_Cachar,Cachar,1,0,1,0,0,0,0,0,
47,AS,Assam,AS_Charaideo,Charaideo,0,0,0,0,0,0,0,0,
48,AS,Assam,AS_Chirang,Chirang,0,0,0,0,0,0,0,0,
49,AS,Assam,AS_Darrang,Darrang,0,0,0,0,0,0,0,0,
50,AS,Assam,AS_Dhemaji,Dhemaji,0,0,0,0,0,0,0,0,
51,AS,Assam,AS_Dhubri,Dhubri,5,1,4,0,0,0,0,0,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,0,0,0,0,0,0,0,0,
