State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,34007,8636,1112,24256,30/04/2020 20:12:45,TT,944,199,33,
Maharashtra,9915,1593,432,7890,29/04/2020 22:37:46,MH,0,0,0,
Gujarat,4395,527,214,3654,30/04/2020 20:12:45,GJ,313,0,17,
Delhi,3439,1092,56,2291,29/04/2020 23:16:45,DL,0,0,0,
Madhya Pradesh,2560,461,130,1969,29/04/2020 21:02:47,MP,0,0,0,
Rajasthan,2556,836,58,1662,30/04/2020 14:42:45,RJ,118,22,3,
Tamil Nadu,2323,1258,27,1038,30/04/2020 18:22:46,TN,161,48,0,
Uttar Pradesh,2134,510,39,1585,29/04/2020 20:12:47,UP,0,0,0,
Andhra Pradesh,1403,321,31,1051,30/04/2020 11:50:46,AP,71,34,0,
Telangana,1016,409,25,582,29/04/2020 22:02:47,TG,0,0,0,
West Bengal,758,124,33,601,30/04/2020 17:53:10,WB,33,5,11,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Jammu and Kashmir,614,216,8,390,30/04/2020 19:12:47,JK,33,24,0,
Karnataka,565,229,21,315,30/04/2020 19:21:47,KA,30,13,0,
Kerala,498,383,4,111,30/04/2020 17:11:46,KL,2,14,0,Mahe native who expired in Kannur included in Kerala's tally
Bihar,422,84,2,336,30/04/2020 19:12:49,BR,19,20,0,
Punjab,480,104,20,356,30/04/2020 19:44:01,PB,105,3,1,
Haryana,339,235,4,100,30/04/2020 19:21:49,HR,28,10,1,
Odisha,142,39,1,102,30/04/2020 17:11:47,OR,17,0,0,
Jharkhand,107,19,3,85,29/04/2020 21:32:46,JH,0,0,0,
Chandigarh,74,18,0,56,30/04/2020 17:32:46,CH,6,1,0,
Uttarakhand,57,36,0,21,30/04/2020 18:51:48,UT,2,0,0,
Himachal Pradesh,40,27,2,8,30/04/2020 19:32:49,HP,0,2,0,Death of Tibetan refugee included
Assam,42,29,1,12,30/04/2020 14:33:18,AS,4,0,0,Includes one case from Nagaland
Chhattisgarh,40,36,0,4,28/04/2020 23:41:48,CT,2,2,0,
Andaman and Nicobar Islands,33,16,0,17,30/04/2020 11:32:48,AN,0,1,0,
Ladakh,22,17,0,5,29/04/2020 21:12:47,LA,0,0,0,
Meghalaya,12,0,1,11,18/04/2020 12:38:07,ML,0,0,0,
Puducherry,8,5,0,3,27/04/2020 23:21:56,PY,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,2,0,0,23/04/2020 20:47:41,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
