Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquiry Calls,Num Calls State Helpline,Source1,,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
17/04/2020,Andaman and Nicobar Islands,1403,Samples Sent,12,1210,181,,,,,50,,,,,https://t.me/indiacovid/2550,,,0.86%,3.53,3534,117,397000
24/04/2020,Andaman and Nicobar Islands,2679,Samples Sent,27,,246,,614,,347,50,,,,280,https://t.me/indiacovid/3147?single,,,1.01%,6.75,6748,99,397000
27/04/2020,Andaman and Nicobar Islands,2848,Samples Sent,33,,106,,724,,420,50,,,,298,https://t.me/indiacovid/3365?single,,,1.16%,7.17,7174,86,397000
01/05/2020,Andaman and Nicobar Islands,3754,Samples Sent,33,,199,,643,Institutional,556,50,,,,340,https://t.me/indiacovid/3781,,,0.88%,9.46,9456,114,397000
16/05/2020,Andaman and Nicobar Islands,6677,Samples Sent,33,,136,,16,Institutional,1196,98,,,,471,https://t.me/indiacovid/4925,,,0.49%,16.82,16819,202,397000
02/04/2020,Andhra Pradesh,1800,Tested,132,1175,493,,,,,23479,2680,330,,,https://twitter.com/ArogyaAndhra/status/1245580598938198016?s=20,,,7.33%,4.53,4534,14,52221000
10/04/2020,Andhra Pradesh,6374,Tested,365,6009,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,5.73%,16.06,16055,17,52221000
11/04/2020,Andhra Pradesh,6958,Tested,381,6577,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,5.48%,17.53,17526,18,52221000
12/04/2020,Andhra Pradesh,6958,Tested,405,6553,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,5.82%,17.53,17526,17,52221000
13/04/2020,Andhra Pradesh,8755,Tested,432,8323,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,4.93%,22.05,22053,20,52221000
14/04/2020,Andhra Pradesh,10505,Tested,473,10032,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,4.50%,26.46,26461,22,52221000
15/04/2020,Andhra Pradesh,11613,Tested,525,11088,,,,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,4.52%,29.25,29252,22,52221000
